نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد,fa_date,en_date,fa_year
ساروج,بين المللي ساروج بوشهر,0,0,0,21608,0,21080,-528,-2.44,21608,0,0,0,0,652.0,33.14,0,0,0,23221,1000,1,1399-07-13,2020-10-04,1399
دي,بانك دي,0,0,0,47198,0,47008,-190,-0.4,47198,0,0,0,0,919.0,51.36,4,4108,46985,46985,2805,2,1399-07-13,2020-10-04,1399
غچين,كشت‌ و صنعت‌ چين‌ چين,0,0,0,47110,0,45850,-1260,-2.67,47110,0,0,0,0,2799.0,16.83,0,0,0,45850,1150,1,1399-07-13,2020-10-04,1399
خساپا,سايپا,0,0,0,2260,0,2260,0,0.0,2260,0,0,0,0,-109.0,-20.73,72,726186,2260,2260,100000,1,1399-07-13,2020-10-04,1399
وثنو,سرمايه گذاري ساختماني نوين,0,0,0,18548,0,18008,-540,-2.91,18548,0,0,0,0,2168.0,8.56,0,0,0,18008,585282,22,1399-07-13,2020-10-04,1399
افاد52,منفعت دولت5-ش.خاص سپهر0108,0,0,0,890886,0,890886,0,0.0,890886,0,0,0,0,,,2,16500,890000,0,0,0,1399-07-13,2020-10-04,1399
وسينا,بانك سينا,0,0,0,11240,0,11250,10,0.09,11240,0,0,0,0,220.0,51.09,1,500,11250,11430,6684,2,1399-07-13,2020-10-04,1399
ثنظام,س. ساختماني نظام مهندسي ايران,0,0,0,48000,0,46689,-1311,-2.73,48000,0,0,0,0,781.0,61.46,0,0,0,46689,3803,7,1399-07-13,2020-10-04,1399
ولساپا,ليزينگ رايان‌ سايپا,0,0,0,3770,0,3940,170,4.51,3770,0,0,0,0,320.0,11.78,10,1921000,3940,4000,42765,2,1399-07-13,2020-10-04,1399
صايند,صندوق س. گنجينه آينده روشن-د,0,0,0,9970,0,9974,4,0.04,9970,0,0,0,0,,,1,2000,9900,10020,100000,1,1399-07-13,2020-10-04,1399
اخزا816,اسنادخزانه-م16بودجه98-010503,0,0,0,728911,0,728900,-11,0.0,728911,0,0,0,0,,,1,25000,706600,749000,110,1,1399-07-13,2020-10-04,1399
صبا,سرمايه گذاري صبا تامين,0,0,0,11455,0,11330,-125,-1.09,11455,0,0,0,0,1462.0,7.84,1,1151,11250,11340,1747,2,1399-07-13,2020-10-04,1399
غپآذر,شير پگاه آذربايجان شرقي,0,0,0,57123,0,57400,277,0.48,57123,0,0,0,0,647.0,88.29,0,0,0,58990,100,1,1399-07-13,2020-10-04,1399
كايتا,ايتالران‌,0,0,0,9265,0,9542,277,2.99,9265,0,0,0,0,-27.0,-343.15,5,402646,9542,0,0,0,1399-07-13,2020-10-04,1399
لكما,كارخانجات‌مخابراتي‌ايران‌,0,0,0,11791,0,11497,-294,-2.49,11791,0,0,0,0,-126.0,-93.58,0,0,0,11497,602975,59,1399-07-13,2020-10-04,1399
